article_nr,title,tax,price,short_desc,long_desc,picture,stock
16017,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 1/2 Stange a ca. 1,2 Kg)",7.00,13.99,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16014,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)",7.00,4.29,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16011,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)",7.00,1.45,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16015,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)",7.00,5.75,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16012,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)",7.00,2.89,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16016,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: ca. 280 Gramm am Stück)",7.00,3.25,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16013,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 250 Gramm geschnitten)",7.00,3.59,Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,-1
16021,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)",7.00,1.45,"Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,-1
16024,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: ca. 280 Gramm am Stück)",7.00,3.35,"Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,-1
16025,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)",7.00,5.75,"Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,-1
