reference,id_product,name,description_short,description,picture_link,meta_description,id_shop_default,price_with_tax,id_tax_rules_group,active
16016,56-1099,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: ca. 280 Gramm am Stück)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,3.25,2,1
16013,56-1096,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 250 Gramm geschnitten)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,3.59,2,1
16017,56-1100,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 1/2 Stange a ca. 1,2 Kg)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,13.99,2,1
16014,56-1097,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,4.29,2,1
16011,56-1094,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,1.45,2,1
16015,56-1098,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 400 Gramm geschnitten)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,5.75,2,1
16012,56-1095,"Albers Bierschinken (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 200 Gramm geschnitten)",Unser Bierschinken wird von Meiterhand aus feinem Fleischbrät mit mind. 65 % magerer Schinkeneinlage hergestellt. Dünn aufgeschnitten auf einem gebuttertem Schwarzbrot ein Hochgenuss an jedem Frühstückstisch.,"Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120; SELLERIE",http://www.alber-der-metzger.de/34-thickbox_default/bierschinken.jpg,Bierschinken mit mind. 65 % magerer Schinkeneinlage online kaufen. Wir liefern sicher per Rechnung und mit gekühltem Versand.,1,2.89,2,1
16023,57-1103,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 300 Gramm geschnitten)","Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,,1,4.31,2,1
16021,57-1101,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: 100 Gramm geschnitten)","Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,,1,1.45,2,1
16024,57-1104,"feine Schinkenwurst mit Pistazien (Aufschnitt, Salami, Schinken, Streichwurst Verpackungseinheit: ca. 280 Gramm am Stück)","Unsere Schinkenwurst wird mit von Meisterhand aus frischem Schweine- und Rindfleisch hergestellt. Als Einlage werden mindestens 60 % mageres Schinkenfleisch verwendet. Die besonders feinen Würzung mit Pfeffer, Muskat, Mazis, Paprika und Senf wird durch feine Pistatienstücke abgerundet. Schmeckt besonders auf einem frischem Mischbrot, aber auch auf einer frischen Semmel.","Schweinefleisch, Rindfleisch, Trinkwasser, Kochsalz, Gewürze, Konservierungsstoffe: Natriumnitrit E250, Stabilisator: Poly- und Diphosphate E 450 E452, Ascorbinsäure E300, Mononatriumglutamat E621 Farbstoff E120 Hülsenfrüchte: PISTATIEN, SELLERIE",http://www.alber-der-metzger.de/35-thickbox_default/schinkenwurst-mit-pistazien.jpg,,1,3.35,2,1
